,"Risk-Premium PCA (RP-PCA), PCA and Sparse Mean Variance (SMV) factors based on the extreme deciles of 37 characteristics from the paper ""Factors that Fit the Time Series and Cross-Section of Stock Returns"". Please cite the paper Lettau and Pelger (2020), Factors that Fit the Time Series and Cross-Section of Stock Returns, when using this data. Calculated based on data from Stock/Security Files ?2019 Center for Research in Security Prices (CRSP), The University of Chicago Booth School of Business.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,RP-PCA factors with gamma=10,,,,,,PCA factors,,,,,,Sparse Mean Variance RP-PCA factors with gamma=10,,,,,,Sparse Mean Variance PCA factors,,,,
,,,,,,,,,,,,,,,,,,,,,,,
date,RPPCA_1,RPPCA_2,RPPCA_3,RPPCA_4,RPPCA_5,,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,,SMV_RPPCA_1,SMV_RPPCA_2,SMV_RPPCA_3,SMV_RPPCA_4,SMV_RPPCA_5,,SMV_PCA_1,SMV_PCA_2,SMV_PCA_3,SMV_PCA_4,SMV_PCA_5
Feb-65,14.25357001,-0.324928398,0.416998463,-7.473615098,0.874528116,,14.21555468,-0.408816922,3.354934739,-6.709011603,0.633150825,,-14.25357001,0.324928398,0.874528116,-0.416998463,4.200332712,,14.21555468,-3.354934739,6.709011603,2.909889058,0.633150825
Mar-65,-9.418052007,1.313353117,3.777421862,-4.496951924,2.621970118,,-9.558305988,-3.577532881,2.146653252,-4.110033469,0.052111142,,9.418052007,-1.313353117,2.621970118,-3.777421862,1.01504133,,-9.558305988,-2.146653252,4.110033469,-1.670469443,0.052111142
Apr-65,34.94455954,5.157987842,-3.810948927,-2.500899009,1.324764127,,34.54715006,4.753855459,6.119404638,0.351664285,4.397854079,,-34.94455954,-5.157987842,1.324764127,3.810948927,-2.568728199,,34.54715006,-6.119404638,-0.351664285,-0.946854344,4.397854079
May-65,-7.693418871,0.556418661,-2.533994722,0.023437675,0.33321549,,-7.696997706,2.558002272,-0.332525945,-0.155218363,1.275104505,,7.693418871,-0.556418661,0.33321549,2.533994722,-1.149050779,,-7.696997706,0.332525945,0.155218363,1.231726212,1.275104505
Jun-65,-58.48345915,-5.287244998,0.602450945,11.13896067,6.929835915,,-58.17869456,-1.874855084,-14.84090844,4.495848237,-0.826497092,,58.48345915,5.287244998,6.929835915,-0.602450945,1.146723573,,-58.17869456,14.84090844,-4.495848237,-1.313179583,-0.826497092
Jul-65,22.2949736,6.50932523,-0.376509276,-6.86673326,0.998693928,,21.79980788,1.541757901,8.860699949,-3.205900459,0.822748726,,-22.2949736,-6.50932523,0.998693928,0.376509276,1.248454592,,21.79980788,-8.860699949,3.205900459,-4.748575355,0.822748726
Aug-65,34.2270494,2.363821788,-3.540545217,-8.311634534,-0.918016174,,34.04444316,4.063337636,7.128479735,-5.578011254,3.064659255,,-34.2270494,-2.363821788,-0.918016174,3.540545217,4.234706279,,34.04444316,-7.128479735,5.578011254,1.424195062,3.064659255
Sep-65,29.35699596,5.503284127,-1.695379867,-4.755060175,-1.909450963,,28.97976199,2.748877908,8.385318948,-0.923601375,1.468086596,,-29.35699596,-5.503284127,-1.909450963,1.695379867,1.482387607,,28.97976199,-8.385318948,0.923601375,-0.112482264,1.468086596
Oct-65,35.69557625,4.979594053,2.380490257,-10.05462716,-1.418780669,,35.29854738,-1.328272364,10.97297743,-5.586590435,1.411112533,,-35.69557625,-4.979594053,-1.418780669,-2.380490257,3.525131804,,35.29854738,-10.97297743,5.586590435,1.831408629,1.411112533
Nov-65,20.47916768,5.584195253,0.260472699,-21.20757528,-2.147209326,,20.11024579,0.842015528,15.66979003,-15.71045119,0.590762672,,-20.47916768,-5.584195253,-2.147209326,-0.260472699,8.182985437,,20.11024579,-15.66979003,15.71045119,5.872079514,0.590762672
