,Mkt-RF,SMB,HML
194208,1.8,-0.04,1.33
194209,2.62,0.63,2.39
194210,6.82,1.69,6.47
194211,0.13,-1.42,-4.23
194212,5.14,-2.55,0.55
194301,7.13,8.77,8.23
194302,6.16,4.84,6.52
194303,6.03,5.13,5.49
194304,0.81,2.09,5.86
194305,5.75,4.46,3.28
194306,1.82,-0.98,-0.75
194307,-4.78,-2.31,-2.23
194308,1.3,-0.64,-0.47
194309,2.4,1.3,1.42
194310,-1.15,0.6,1.68
194311,-5.93,-1.57,-3.99
194312,6.37,3.1,2.9
194401,1.74,2.61,2.29
194402,0.37,-0.08,0.85
194403,2.46,1.65,3.35
194404,-1.69,-1.31,-1.06
194405,5.08,1.68,1.03
194406,5.51,4.11,1.89
194407,-1.49,0.58,-0.42
194408,1.56,2.37,-1.44
194409,0.02,0.48,-1.2
194410,0.16,-0.16,-0.36
194411,1.71,0.35,2.38
194412,4.04,2.23,5.87
194501,2.01,2.45,0.68
194502,6.23,1.62,4.43
194503,-3.91,-1.66,-1.57
194504,7.8,0.48,3.11
194505,1.74,1.53,0.34
194506,0.39,3.14,4.27
194507,-2.17,-1.45,-2.73
194508,6.22,1.6,-4.4
194509,4.77,1.74,0.46
194510,3.89,2.36,2.14
194511,5.4,4.18,4.35
194512,1.19,2.16,-2.4
194601,6.24,3.98,2.28
194602,-5.84,-0.68,-1.27
194603,5.88,0.3,-0.37
194604,4.23,2.37,0.46
194605,3.94,1.48,1.1
194606,-3.89,-1.55,-0.53
194607,-2.69,-1.91,0.05
194608,-6.46,-1.8,0.6
194609,-10.18,-4.43,-1.97
194610,-1.44,0.17,3.45
194611,-0.02,-0.37,1.53
194612,4.97,0,-1.41
194701,1.25,2.2,-0.74
194702,-1.09,0.7,0.14
194703,-1.68,-1.6,0.61
194704,-4.8,-3.97,0.85
194705,-0.96,-3.27,0.32
194706,5.3,-0.33,-0.64
194707,4.13,1.47,2.76
194708,-1.74,0.33,0.14
194709,-0.54,1.62,1.36
194710,2.47,0.52,0.11
194711,-1.99,-1.69,1.07
194712,3.01,-2.47,3.74
194801,-3.93,2.52,1.38
194802,-4.38,-1.7,0.05
194803,8.11,0.12,4.52
194804,3.65,-1.64,4.12
194805,7.32,0.87,-1.27
194806,-0.11,-1.78,2.84
194807,-5.08,-0.38,0.11
194808,0.24,-1.13,0.29
194809,-2.99,-1.27,-1.77
194810,5.96,-1.48,0.58
194811,-9.34,-0.61,-4.15
194812,3.26,-2.85,-1.95
194901,0.23,1.71,1.25
194902,-2.93,-1.87,-0.89
194903,4.05,2.48,1.31
194904,-1.87,-0.92,-1.12
194905,-2.98,-0.78,-2.39
194906,0.1,-0.86,-1.65
194907,5.54,0.55,0.39
194908,2.59,0.14,-0.59
194909,3.09,1.05,0.23
194910,3.14,1.03,-0.49
194911,1.81,-0.94,-0.9
194912,5.14,2.08,1.73
195001,1.7,3.34,0.15
195002,1.48,0.02,-0.79
195003,1.26,-1.43,-2.78
195004,3.94,2,1.33
195005,4.32,-2.13,0.47
195006,-5.96,-2.41,-0.79
195007,1.37,0.54,13.69
195008,4.86,0.74,-1.37
195009,4.82,0.59,-1.1
195010,-0.19,-0.66,1.36
195011,2.74,-0.89,3.19
195012,5.57,1.53,7.27
195101,5.7,1.67,3.79
195102,1.4,0.14,-2.79
195103,-2.16,-0.66,-4.26
195104,4.86,-1.48,3.26
195105,-2.36,-0.08,-1.42
195106,-2.63,-1.96,-3.98
195107,6.95,-2.05,2
195108,4.29,0.95,-0.17
195109,0.7,1.86,0.62
195110,-2.53,-0.23,0.18
195111,0.58,-0.33,-0.08
195112,3.33,-2.24,-1.55
195201,1.45,-0.65,1.48
195202,-2.64,0.85,-0.62
195203,4.44,-2.97,2.23
195204,-4.97,0.49,-0.03
195205,3.2,-1,0.02
195206,3.84,-1.63,1.24
195207,0.91,-0.41,-0.32
195208,-0.77,1.15,0.09
195209,-2.04,1.09,-1.42
195210,-0.66,-1.03,-0.55
195211,5.96,-0.72,1.02
195212,2.93,-1.51,0.19
195301,-0.34,3.54,1.28
195302,-0.27,2.22,-0.05
195303,-1.44,-0.21,-0.84
195304,-2.83,0.26,1.55
195305,0.51,-0.05,0.25
195306,-1.89,-1.89,-0.5
195307,2.4,-1.04,-0.25
195308,-4.56,0.37,-3.52
195309,0.21,-0.85,-2.44
195310,4.6,-1.36,-0.19
195311,2.84,-1.3,-0.15
195312,0.02,-0.85,-2.83
195401,5.13,0.5,3.45
195402,1.67,-0.18,-0.27
195403,3.66,-0.5,-1.45
195404,4.27,-3.47,-0.37
195405,3.1,0.39,2.45
195406,1.08,0.38,0.02
195407,5,1.05,4.14
195408,-2.35,2.68,-1.42
195409,6.4,-2.56,0.68
195410,-1.67,0.61,0.64
195411,9.41,-2.65,4.45
195412,5.49,2.18,5.68
195501,0.6,0.24,2.1
195502,3.02,1.55,0.61
195503,-0.15,-0.65,1.93
195504,3.11,-1.75,0.75
195505,0.94,-0.25,-0.96
195506,6.55,-4.61,1.85
195507,1.89,-1.2,0.39
195508,0.22,-0.46,0.75
195509,-0.37,0.3,-1.01
195510,-2.67,1.46,-0.11
195511,7.04,-2.2,0.33
195512,1.49,1.98,-2.11
195601,-3.03,0.5,0.82
195602,3.78,-0.97,-0.46
195603,6.64,-2.13,-0.49
195604,0.28,-0.03,-0.16
195605,-5.22,1.5,-1.32
195606,3.47,-1.53,-1.1
195607,4.84,-1.69,-0.07
195608,-3.19,1.89,-0.73
195609,-5.14,1.6,1.75
195610,0.52,-0.12,-0.07
195611,0.35,-0.21,1.76
195612,3.16,-0.02,-2.15
195701,-3.57,3.38,2.83
195702,-2.07,-0.75,-0.66
195703,2.13,0.33,-0.53
195704,4.26,-1.57,-1.47
195705,3.46,-1.08,-2.01
195706,-0.75,0.59,-0.03
195707,0.66,-0.8,0.48
195708,-5.12,0.06,-0.45
195709,-5.99,0.06,0.95
195710,-4.32,-2.46,-1.88
195711,2.31,0.4,-2.91
195712,-3.9,-0.91,-1.76
195801,4.65,4.29,4.34
195802,-1.53,0.75,0.23
195803,3.27,0.69,-1.03
195804,3.09,-0.69,1.64
195805,2.32,2.16,-0.2
195806,2.93,-0.14,0.31
195807,4.39,0.47,3.07
195808,1.9,1.15,0.33
195809,4.66,0.08,2.8
195810,2.53,1.05,-1.13
195811,3.01,2.05,-1.17
195812,5.16,-2.02,0.06
195901,0.71,3.02,2.92
195902,0.95,1.48,1.15
195903,0.28,1.45,-0.34
195904,3.66,-0.68,-1.24
195905,1.73,-2.1,1.8
195906,-0.24,0.67,1.32
195907,3.18,-0.35,0.27
195908,-1.38,-0.78,0.44
195909,-4.81,-0.15,0.53
195910,1.28,1.52,-2.1
195911,1.6,1.26,-3.22
195912,2.46,-0.63,-0.01
196001,-6.98,2.12,2.65
196002,1.16,0.6,-1.97
196003,-1.63,-0.55,-2.75
196004,-1.71,0.22,-2.14
196005,3.12,1.29,-3.73
196006,2.08,-0.28,-0.27
196007,-2.37,-0.52,2.1
196008,3,0.69,-0.18
196009,-6,-1.12,1.68
196010,-0.71,-4.09,2.83
196011,4.69,0.38,-2.39
196012,4.73,-1.58,-0.77
196101,6.2,0.6,3.65
196102,3.57,3.89,-0.58
196103,2.89,3.22,-0.82
196104,0.29,0.07,2.13
196105,2.4,1.97,0.38
196106,-3.08,-2.49,-0.09
196107,2.83,-1.94,-0.08
196108,2.57,-1.71,-0.3
196109,-2.15,-1.07,-0.61
196110,2.58,-1.61,0.18
196111,4.45,1.26,-1.22
196112,-0.17,-0.87,1.76
196201,-3.87,1.74,5.11
196202,1.81,-1.15,0.82
196203,-0.68,0.66,-1.58
196204,-6.59,-0.85,0.14
196205,-8.66,-3.14,2.73
196206,-8.5,-0.46,2.42
196207,6.27,1.52,-3.37
196208,2.13,1.22,-1.12
196209,-5.22,-2.4,1.33
196210,-0.05,-3.95,1.3
196211,10.89,2.5,0.85
196212,1.01,-3.76,0.32
196301,4.94,3.01,2.24
196302,-2.4,0.46,2.15
196303,3.08,-2.58,2.1
196304,4.51,-1.26,1
196305,1.76,1.08,2.55
196306,-2,-0.32,0.65
196307,-0.39,-0.57,-0.81
196308,5.08,-0.95,1.7
196309,-1.57,-0.25,0
196310,2.54,-0.57,-0.04
196311,-0.86,-1.16,1.73
196312,1.83,-1.96,-0.21
196401,2.24,-0.24,1.63
196402,1.55,0.12,2.81
196403,1.41,0.95,3.29
196404,0.1,-1.35,-0.54
196405,1.41,-0.84,1.81
196406,1.27,-0.23,0.68
196407,1.74,0.19,0.79
196408,-1.44,0.01,0.07
196409,2.69,-0.63,1.72
196410,0.6,0.48,1.08
196411,-0.01,0.62,-2.04
196412,0.04,-0.24,-2.43
196501,3.54,2.57,0.36
196502,0.44,3.31,0.22
196503,-1.34,1.79,1.15
196504,3.11,1.14,0.73
196505,-0.78,0.02,-1.55
196506,-5.51,-4.07,0.23
196507,1.44,0.86,2.19
196508,2.73,2.85,-0.98
196509,2.86,0.63,-0.14
196510,2.6,2.52,1.55
196511,-0.03,4.69,0.16
196512,1.01,2.07,2.15
196601,0.72,4.02,3.27
196602,-1.21,4.44,0.38
196603,-2.51,0.86,-2.13
196604,2.13,3.44,-0.36
196605,-5.67,-4.6,-1.6
196606,-1.44,1.02,0.49
196607,-1.63,-0.35,0.91
196608,-7.94,-3.26,0.5
196609,-1.06,-1.01,0.48
196610,3.86,-6.6,2.74
196611,1.38,4.07,-4.63
196612,0.13,1.93,-0.95
196701,8.15,8.1,2.36
196702,0.77,3.32,-2.26
196703,3.99,1.47,0.47
196704,3.89,0.47,-2.29
196705,-4.32,2.11,0.8
196706,2.42,5.85,0.8
196707,4.58,3.17,2.75
196708,-0.9,0.43,1.43
196709,3.1,3.04,-2.47
196710,-3.08,1.47,-3.29
