,Mkt-RF,SMB,HML
199708,-4.1,7.15,1.13
199709,5.34,2.54,0.24
199710,-3.8,-0.71,2.33
199711,2.99,-5.11,1.22
199712,1.33,-2.48,3.74
199801,0.15,-1.01,-1.68
199802,7.03,0.13,-0.93
199803,4.76,-1.19,1.38
199804,0.74,0.06,1.03
199805,-3.07,-3.4,3.41
199806,3.19,-3.17,-2.03
199807,-2.42,-4.83,-1.83
199808,-16.05,-5.47,3.57
199809,6.19,-0.02,-3.51
199810,6.98,-2.98,-2.33
199811,6.07,1.26,-3.24
199812,6.15,-0.46,-4.25
199901,3.48,0.67,-4.46
199902,-4.08,-6.02,1.95
199903,3.48,-3.84,-2.61
199904,4.34,3.89,2.4
199905,-2.46,3.32,2.49
199906,4.77,3.23,-3.22
199907,-3.49,2.48,-0.18
199908,-1.37,-0.95,-1.93
199909,-2.77,3.12,-2.9
199910,6.09,-6.94,-2.88
199911,3.41,6.87,-5.65
199912,7.66,6.56,-7.66
200001,-4.74,5.16,-1.12
200002,2.46,21.25,-9.77
200003,5.21,-17.41,8.5
200004,-6.39,-6,6.45
200005,-4.39,-6.08,4.59
200006,4.68,12.71,-8.04
200007,-2.48,-2.84,8.06
200008,7.03,-0.5,-1.37
200009,-5.44,-1.74,7.24
200010,-2.78,-3.85,5.58
200011,-10.7,-3.08,12.24
200012,1.18,0.82,7.55
200101,3.25,6.41,-5.05
200102,-10.03,-0.65,12.23
200103,-7.25,0.26,6.47
200104,7.93,0.5,-4.64
200105,0.68,2.48,3.38
200106,-1.94,6.35,-1.26
200107,-2.13,-4.05,4.95
200108,-6.4,2.19,2.86
200109,-9.24,-6.23,1.52
200110,2.48,7.49,-7.31
200111,7.53,-0.57,2.17
200112,1.61,4.72,0.83
200201,-1.44,1.17,3.42
200202,-2.3,-1.08,2.34
200203,4.24,4.09,1.08
200204,-5.21,5.82,4.01
200205,-1.36,-3.27,1.52
200206,-7.23,4.08,0.37
200207,-8.19,-5.25,-3.51
200208,0.5,-2.8,3.01
200209,-10.34,2.42,1.26
200210,7.84,-3.4,-3.76
200211,5.96,3.26,-1.16
200212,-5.76,-0.04,2.11
200301,-2.57,1.34,-0.79
200302,-1.88,-0.44,-1.36
200303,1.09,1.17,-2.11
200304,8.18,0.76,1.22
200305,6.05,4.61,0.7
200306,1.42,1.7,0.14
200307,2.33,4.93,-1.53
200308,2.33,2.44,1.64
200309,-1.24,0.85,0.14
200310,6.08,2.59,2.21
200311,1.35,2.06,1.72
200312,4.29,-2.68,1.51
200401,2.15,2.54,2.42
200402,1.4,-1.57,0.95
200403,-1.32,1.73,0.23
200404,-1.81,-1.73,-3.23
200405,1.18,-0.23,-0.18
200406,1.85,2.25,1.21
200407,-4.04,-3.76,3.22
200408,0.07,-1.52,1.08
200409,1.6,3.01,-0.05
200410,1.42,0.13,-0.26
200411,4.53,3.74,1.57
200412,3.42,-0.03,-0.23
200501,-2.75,-1.66,2.06
200502,1.88,-0.57,1.41
200503,-1.94,-1.41,2.07
200504,-2.61,-3.93,0.05
200505,3.65,2.86,-0.58
200506,0.58,2.56,2.8
200507,3.92,2.87,-0.78
200508,-1.2,-1.07,1.34
200509,0.48,-0.62,0.78
200510,-2.04,-1.3,0.43
200511,3.61,1.05,-1.18
200512,-0.24,-0.44,0.15
200601,3.03,5.46,0.99
200602,-0.3,-0.41,-0.31
200603,1.47,3.39,0.61
200604,0.73,-1.38,2.26
200605,-3.56,-3.01,2.38
200606,-0.35,-0.35,0.85
200607,-0.77,-3.95,2.62
200608,2.03,0.99,-1.95
200609,1.84,-1.3,0.06
200610,3.22,1.77,-0.33
200611,1.7,0.63,0.04
200612,0.85,-1.16,2.74
200701,1.38,0.09,-0.68
200702,-1.96,1.23,-0.08
200703,0.71,0.09,-0.88
200704,3.49,-2.21,-1.44
200705,3.23,0.16,-0.59
200706,-1.96,0.73,-1.05
200707,-3.72,-2.66,-3.68
200708,0.94,-0.11,-1.87
200709,3.22,-2.25,-2.17
200710,1.79,0.19,-2.87
200711,-4.8,-2.81,-1.09
200712,-0.87,0.11,-0.51
200801,-6.33,-1.02,4
200802,-3.09,-0.48,-0.72
200803,-0.94,0.71,0.31
200804,4.61,-1.69,-0.96
200805,1.87,2.97,-1.5
200806,-8.43,1.15,-2.51
200807,-0.75,2.6,5.2
200808,1.53,3.4,1.52
200809,-9.35,-1.07,5.66
200810,-17.2,-2.31,-1.89
200811,-7.74,-3.01,-6.21
200812,1.77,3.52,0.05
200901,-8.09,0.04,-11.02
200902,-10.14,0.14,-6.6
200903,9.01,-0.1,3.48
200904,10.17,5.4,5.38
200905,5.21,-2.41,0.41
200906,0.42,2.58,-2.76
200907,7.74,1.75,4.89
200908,3.33,-1.12,7.6
200909,4.08,2.43,1.15
200910,-2.53,-4.26,-4.17
200911,5.63,-2.5,-0.33
200912,2.8,6.01,-0.11
201001,-3.35,0.43,0.33
201002,3.39,1.18,3.18
201003,6.3,1.46,2.19
201004,1.99,4.84,2.96
201005,-7.9,0.13,-2.48
201006,-5.56,-1.79,-4.73
201007,6.92,0.22,-0.5
201008,-4.78,-3.01,-1.73
201009,9.55,3.82,-3.02
201010,3.87,1.08,-2.46
201011,0.59,3.67,-0.9
201012,6.82,0.72,3.56
201101,1.98,-2.29,0.61
201102,3.48,1.5,1.18
201103,0.45,2.49,-1.84
201104,2.9,-0.42,-2.44
201105,-1.27,-0.73,-1.85
201106,-1.74,-0.27,-0.2
201107,-2.35,-1.17,-0.91
201108,-5.96,-2.96,-2.43
201109,-7.58,-3.12,-1.53
201110,11.33,3.05,0.06
201111,-0.27,-0.18,-0.52
201112,0.75,-0.56,1.54
201201,5.05,2.01,-0.93
201202,4.42,-1.84,0.42
201203,3.12,-0.63,1.19
201204,-0.85,-0.37,-0.77
201205,-6.17,0.12,-0.95
201206,3.89,0.72,0.55
201207,0.79,-2.76,-0.06
201208,2.54,0.5,1.23
201209,2.73,0.45,1.62
201210,-1.76,-1.09,3.52
201211,0.78,0.6,-0.86
201212,1.18,1.5,3.48
201301,5.57,0.29,1.01
201302,1.28,-0.3,0.21
201303,4.04,0.83,-0.22
201304,1.56,-2.37,0.44
201305,2.8,1.7,2.67
201306,-1.2,1.31,-0.05
201307,5.65,1.81,0.58
201308,-2.71,0.32,-2.73
201309,3.77,2.89,-1.18
201310,4.17,-1.56,1.22
201311,3.11,1.31,0.19
201312,2.81,-0.44,0
201401,-3.32,0.93,-1.99
201402,4.66,0.36,-0.35
201403,0.43,-1.86,4.9
201404,-0.18,-4.18,1.22
201405,2.05,-1.85,-0.1
201406,2.6,3.05,-0.71
201407,-2.03,-4.18,-0.08
201408,4.24,0.41,-0.57
201409,-1.96,-3.59,-1.47
201410,2.51,4.05,-1.63
201411,2.56,-2.05,-3.13
201412,-0.05,2.53,2.12
201501,-3.1,-0.59,-3.45
201502,6.13,0.61,-1.79
201503,-1.11,3.05,-0.38
201504,0.59,-2.99,1.8
201505,1.37,0.95,-1.11
201506,-1.52,2.94,-0.82
201507,1.57,-4.17,-4.16
201508,-6.02,0.37,2.75
201509,-3.06,-2.63,0.55
201510,7.75,-1.9,-0.47
201511,0.57,3.58,-0.43
201512,-2.15,-2.8,-2.57
201601,-5.74,-3.4,2.08
201602,-0.06,0.73,-0.61
201603,6.95,0.75,1.22
201604,0.92,0.77,3.22
201605,1.78,-0.18,-1.62
201606,-0.03,0.6,-1.49
201607,3.94,2.45,-1.24
201608,0.49,1.17,3.17
201609,0.27,2.08,-1.19
201610,-2.01,-4.39,4.11
201611,4.86,5.6,8.29
201612,1.81,0.14,3.47
201701,1.94,-1.16,-2.76
201702,3.55,-2.15,-1.5
201703,0.17,1.13,-3.33
201704,1.08,0.66,-2.05
201705,1.07,-2.52,-3.82
201706,0.79,2.21,1.5
201707,1.88,-1.45,-0.23
201708,0.18,-1.67,-2.13
201709,2.49,4.45,3.15
201710,2.26,-1.93,0.13
201711,3.12,-0.6,-0.09
201712,1.06,-1.32,0.05
201801,5.58,-3.16,-1.32
201802,-3.64,0.27,-1.1
201803,-2.35,4.05,-0.21
201804,0.27,1.09,0.53
201805,2.66,5.24,-3.14
201806,0.49,1.11,-2.33
201807,3.2,-2.23,0.49
201808,3.45,1.14,-3.91
201809,0.06,-2.29,-1.62
201810,-7.65,-4.7,3.38
201811,1.71,-0.73,0.36
201812,-9.55,-2.31,-1.92
201901,8.37,2.76,-0.39
201902,3.42,2.05,-2.66
201903,1.1,-3.03,-4.14
201904,3.97,-1.74,2.13
201905,-6.92,-1.26,-2.45
201906,6.92,0.26,-0.64
201907,1.23,-1.96,0.5
201908,-2.55,-2.39,-4.77
201909,1.41,-0.97,6.76
201910,2.07,0.27,-1.92
201911,3.87,0.72,-2
201912,2.77,0.76,1.73
202001,-0.11,-3.1,-6.22
202002,-8.15,1.08,-3.82
202003,-13.37,-4.69,-13.83
202004,13.6,2.5,-1.34
202005,5.57,2.4,-5
202006,2.45,2.67,-2.17
202007,5.83,-2.35,-1.44
202008,7.62,-0.2,-3.02
202009,-3.64,0.06,-2.72
202010,-2.08,4.34,4.25
202011,12.45,5.81,2.09
202012,4.63,5.01,-1.68
202101,-0.07,7.14,3.22
202102,2.81,2.02,7.2
202103,3.16,-2.33,7.35
202104,4.95,-3.19,-1.02
202105,0.3,-0.2,7.04
202106,2.74,1.7,-7.86
202107,1.34,-3.93,-1.79
202108,2.94,-0.32,-0.23
202109,-4.4,0.66,5.12
202110,6.63,-2.27,-0.53
202111,-1.58,-1.31,-0.37
202112,3.23,-1.63,3.26
202201,-6.16,-5.93,12.86
202202,-2.28,2.16,3.06
202203,3.08,-1.55,-1.9
202204,-9.41,-1.35,6.18
202205,-0.34,-1.84,8.44
202206,-8.4,2.07,-6
202207,9.57,2.84,-4.15
202208,-3.77,1.41,0.18
202209,-9.34,-0.76,0.03
202210,7.85,0.01,7.97
202211,4.65,-3.57,1.48
202212,-6.38,-0.76,1.34
202301,6.61,5.01,-3.94
202302,-2.57,1.05,-0.8
202303,2.48,-5.48,-9.05
202304,0.62,-3.37,-0.12
202305,0.34,1.6,-7.79
202306,6.46,1.49,-0.13
202307,3.21,2.05,4.06
202308,-2.36,-3.14,-1.15
202309,-5.23,-2.51,1.49
202310,-3.15,-3.86,0.2
202311,8.88,-0.1,1.67
202312,4.85,6.3,4.89
202401,0.73,-5.07,-2.38
202402,5.07,-0.24,-3.43
202403,2.84,-2.5,4.16
202404,-4.65,-2.37,-0.45
202405,4.32,0.55,-1.31
202406,2.8,-3,-3.36
202407,1.22,6.81,5.62
202408,1.6,-3.49,-1.1
202409,1.72,-0.13,-2.77
202410,-1,-0.99,0.86
202411,6.49,4.46,0.15
202412,-3.17,-2.71,-3
202501,2.8,-1.97,1.63
202502,-2.44,-5.79,4.91
202503,-6.39,-2.76,2.9
202504,-0.84,-0.59,-3.4
202505,6.06,0.7,-2.88
202506,4.86,0.83,-1.6
202507,1.98,0.27,-1.26
